"sensor_id","dist_res_m","dist_ter_m","dist_sec_m","dist_pri_m","residential","grass","retail","commercial","industrial","brownfield","religious","construction","meadow","forest","farmland","recreation_ground","plant_nursery","railway","cemetery","farmyard","military","village_green","others"
"6450","16.644226564576535","148.08516391723228","223.0391289022504","832.4211321034014","0.0001","0.2823","0.0011","0.0006","0.0007","0.0041","0.6471","0.0204","0","0","0","0","0","0","0","0","0","0","0"
"6454","7.648733752903739","106.14581413562055","939.2076256867105","1116.8119936655896","0.0010","0.0011","0.0014","0.0016","0.5074","0.0170","0.0002","0","0","0","0","0","0","0","0","0","0","0","0"
"6458","26.928423237973895","18.180542092419945","101.66806160229784","1547.1962598763278","0.0001","0.0179","0.0022","0.0340","0.2141","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6472","20.364132280967326","291.0615707144678","1036.9818406948675","2574.169107333734","0.0081","0.0002","0.0000","0.0050","0.0029","0.0009","0.2569","0.0025","0","0","0","0","0","0","0","0","0","0","0"
"6544","24.792971044245057","247.55392768581774","127.50984754961944","1177.298169880804","0.0002","0.0995","0.0021","0.0005","0.0016","0.0000","0.0010","0.0023","0.5442","0.0381","0","0","0","0","0","0","0","0","0"
"6690","31879.80009259455","31858.21856605081","31862.57835617522","31942.020979519697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6720","8997.530759238587","9470.904032868937","9424.353612282739","9251.577533103677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6732","29433.637805256836","29305.339744892608","29582.07002101289","28852.02593905858","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6736","30.905814864687677","461.1814636745769","2137.6599021561656","1835.6339322736178","0.0006","0.0104","0.0073","0.1347","0.1884","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6748","40.220365458447084","261.00244250795697","474.27968441659317","2094.2832771491917","0.0401","0.0023","0.0039","0.5308","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6770","14.805463127697802","458.6331651327119","871.8048427143327","172.89203921429686","0.0082","0.0064","0.0004","0.0430","0.0089","0.6581","0.0383","0","0","0","0","0","0","0","0","0","0","0","0"
"6772","27.554381164185415","484.8490980008422","114.13495800229362","1511.7905504272878","0.4632","0.0341","0.0020","0.0001","0.0029","0.0012","0.0016","0.0054","0.0032","0.0010","0.1818","0.0024","0","0","0","0","0","0","0"
"6828","198.01188980110436","619.3413414564131","185.5090981550533","29.920941830205418","0.1063","0.0080","0.0020","0.1291","0.0007","0.0259","0.0003","0.0005","0.1050","0.0009","0.0003","0","0","0","0","0","0","0","0"
"6836","27.50407229620578","622.2466584673709","195.75311179533955","619.2473402786242","0.0034","0.0076","0.0037","0.0031","0.0127","0.1274","0.0057","0.0055","0.0007","0.2968","0.0123","0","0","0","0","0","0","0","0"
"6850","14.221331662680662","431.0653350431678","159.9101356627645","774.4812107589905","0.0034","0.0110","0.0187","0.0002","0.0572","0.0005","0.0011","0.0015","0.0027","0.5129","0.0460","0","0","0","0","0","0","0","0"
"6852","548.3855914044616","239.6628116222828","1281.6734752745417","733.8443251772889","0.0162","0.0877","0.0179","0.0009","0.0016","0.0004","0.0018","0.0002","0.2570","0","0","0","0","0","0","0","0","0","0"
"6886","26.895012015787707","172.2982705302983","436.91727508365256","228.9176746359012","0.0048","0.0058","0.0084","0.0054","0.6461","0.0192","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6890","86.95673482622674","417.4692538270574","29.165260076159413","1094.2862982980305","0.0472","0.0020","0.0586","0.0007","0.0014","0.4994","0.0022","0","0","0","0","0","0","0","0","0","0","0","0"
"6898","25.188780522391326","600.4241171591698","588.3475914710733","500.41347125057933","0.0005","0.3825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6908","28.1151602329474","111.77942196865804","813.3600522889722","1964.6029953598352","0.0006","0.0037","0.0003","0.0037","0.0009","0.0045","0.0029","0.0015","0.0009","0.3265","0.0025","0","0","0","0","0","0","0","0"
"7272","25.520553125946165","234.69761770163464","2678.2922961918794","847.7275317152427","0.0028","0.0112","0.0034","0.6442","0.0200","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7290","13.615327874292209","447.54414740750127","117.63666244198333","689.5278255266245","0.0001","0.0026","0.0037","0.0050","0.0099","0.0012","0.7002","0.0124","0","0","0","0","0","0","0","0","0","0","0"
